Enrollment Cnt,Course Control Nbr,% Grades Receivedof Enrollment,Course Control Nbr,Letter Grd Cnt,Course Control Nbr,Instructor Name,Average Grade,Course Subject Short Nm,Course Number,Section Nbr,Grade Subtype Desc,Grade Type Desc,Grade Nm,Course Title Nm
8,57203,,57203,,57203,Christopher Carroll; Christopher Francis,,Aerospace Studies,1A,001,A,Letter Grade,A+,Found Us Air Force
7,57203,,57203,,57203,Christopher Carroll; Christopher Francis,,Aerospace Studies,1A,001,A,Letter Grade,A,Found Us Air Force
4,57203,,57203,,57203,Christopher Carroll; Christopher Francis,,Aerospace Studies,1A,001,A,Letter Grade,A-,Found Us Air Force
1,57203,,57203,,57203,Christopher Carroll; Christopher Francis,,Aerospace Studies,1A,001,B,Letter Grade,B+,Found Us Air Force
1,57203,,57203,,57203,Christopher Carroll; Christopher Francis,,Aerospace Studies,1A,001,B,Letter Grade,B,Found Us Air Force
1,57203,,57203,,57203,Christopher Carroll; Christopher Francis,,Aerospace Studies,1A,001,C,Letter Grade,C,Found Us Air Force
1,57203,,57203,,57203,Christopher Carroll; Christopher Francis,,Aerospace Studies,1A,001,F,Letter Grade,F,Found Us Air Force
6,57206,,57206,,57206,Christopher Carroll; Christopher Francis,,Aerospace Studies,2A,001,A,Letter Grade,A+,Evolut Of Air Power
2,57206,,57206,,57206,Christopher Carroll; Christopher Francis,,Aerospace Studies,2A,001,A,Letter Grade,A,Evolut Of Air Power
5,57206,,57206,,57206,Christopher Carroll; Christopher Francis,,Aerospace Studies,2A,001,A,Letter Grade,A-,Evolut Of Air Power
3,57206,,57206,,57206,Christopher Carroll; Christopher Francis,,Aerospace Studies,2A,001,B,Letter Grade,B,Evolut Of Air Power
3,57206,,57206,,57206,Christopher Carroll; Christopher Francis,,Aerospace Studies,2A,001,B,Letter Grade,B-,Evolut Of Air Power
1,57206,,57206,,57206,Christopher Carroll; Christopher Francis,,Aerospace Studies,2A,001,F,Letter Grade,F,Evolut Of Air Power
6,57209,,57209,,57209,Christopher Carroll; Christopher Francis,,Aerospace Studies,100,001,Credit,Non-Letter Grade,Pass,Leadership Lab
1,57212,,57212,,57212,Christopher Carroll; Christopher Francis,,Aerospace Studies,135A,001,A,Letter Grade,A+,Air Force Studies
4,57212,,57212,,57212,Christopher Carroll; Christopher Francis,,Aerospace Studies,135A,001,A,Letter Grade,A,Air Force Studies
3,57212,,57212,,57212,Christopher Carroll; Christopher Francis,,Aerospace Studies,135A,001,A,Letter Grade,A-,Air Force Studies
1,57212,,57212,,57212,Christopher Carroll; Christopher Francis,,Aerospace Studies,135A,001,B,Letter Grade,B,Air Force Studies
4,00503,,00503,,00503,Aparajita Nanda,,African American Studies,R1A,002,A,Letter Grade,A,Fresh Composition
4,00503,,00503,,00503,Aparajita Nanda,,African American Studies,R1A,002,A,Letter Grade,A-,Fresh Composition
6,00503,,00503,,00503,Aparajita Nanda,,African American Studies,R1A,002,B,Letter Grade,B+,Fresh Composition
2,00503,,00503,,00503,Aparajita Nanda,,African American Studies,R1A,002,B,Letter Grade,B,Fresh Composition
2,00503,,00503,,00503,Aparajita Nanda,,African American Studies,R1A,002,C,Letter Grade,C,Fresh Composition
5,00509,,00509,,00509,Aparajita Nanda,,African American Studies,R1B,001,A,Letter Grade,A,Freshmn Composition
5,00509,,00509,,00509,Aparajita Nanda,,African American Studies,R1B,001,A,Letter Grade,A-,Freshmn Composition
2,00509,,00509,,00509,Aparajita Nanda,,African American Studies,R1B,001,B,Letter Grade,B+,Freshmn Composition
3,00509,,00509,,00509,Aparajita Nanda,,African American Studies,R1B,001,B,Letter Grade,B,Freshmn Composition
1,00515,,00515,,00515,Gabrielle Williams; Leigh Raiford,,African American Studies,R1B,002,A,Letter Grade,A,Freshmn Composition
6,00515,,00515,,00515,Gabrielle Williams; Leigh Raiford,,African American Studies,R1B,002,A,Letter Grade,A-,Freshmn Composition
2,00515,,00515,,00515,Gabrielle Williams; Leigh Raiford,,African American Studies,R1B,002,B,Letter Grade,B+,Freshmn Composition
2,00515,,00515,,00515,Gabrielle Williams; Leigh Raiford,,African American Studies,R1B,002,B,Letter Grade,B,Freshmn Composition
2,00515,,00515,,00515,Gabrielle Williams; Leigh Raiford,,African American Studies,R1B,002,B,Letter Grade,B-,Freshmn Composition
1,00515,,00515,,00515,Gabrielle Williams; Leigh Raiford,,African American Studies,R1B,002,D,Letter Grade,D,Freshmn Composition
7,00521,,00521,,00521,G. Ugo Nwokeji,,African American Studies,4A,001,A,Letter Grade,A,Africa:  Hist & Cul
16,00521,,00521,,00521,G. Ugo Nwokeji,,African American Studies,4A,001,A,Letter Grade,A-,Africa:  Hist & Cul
10,00521,,00521,,00521,G. Ugo Nwokeji,,African American Studies,4A,001,B,Letter Grade,B+,Africa:  Hist & Cul
7,00521,,00521,,00521,G. Ugo Nwokeji,,African American Studies,4A,001,B,Letter Grade,B,Africa:  Hist & Cul
6,00521,,00521,,00521,G. Ugo Nwokeji,,African American Studies,4A,001,B,Letter Grade,B-,Africa:  Hist & Cul
3,00521,,00521,,00521,G. Ugo Nwokeji,,African American Studies,4A,001,D,Letter Grade,D+,Africa:  Hist & Cul
1,00521,,00521,,00521,G. Ugo Nwokeji,,African American Studies,4A,001,F,Letter Grade,F,Africa:  Hist & Cul
