Enrollment Cnt,Course Control Nbr,% Grades Receivedof Enrollment,Course Control Nbr,Letter Grd Cnt,Course Control Nbr,Instructor Name,Average Grade,Course Subject Short Nm,Course Number,Section Nbr,Grade Subtype Desc,Grade Type Desc,Grade Nm,Course Title Nm
1,10102,,10102,,10102,Leigh Raiford; Selina Makana; Selina Makana,,African American Studies,R1B,001,A,Letter Grade,A+,Freshmn Compositi
4,10102,,10102,,10102,Leigh Raiford; Selina Makana; Selina Makana,,African American Studies,R1B,001,A,Letter Grade,A,Freshmn Compositi
4,10102,,10102,,10102,Leigh Raiford; Selina Makana; Selina Makana,,African American Studies,R1B,001,A,Letter Grade,A-,Freshmn Compositi
2,10102,,10102,,10102,Leigh Raiford; Selina Makana; Selina Makana,,African American Studies,R1B,001,B,Letter Grade,B+,Freshmn Compositi
2,10102,,10102,,10102,Leigh Raiford; Selina Makana; Selina Makana,,African American Studies,R1B,001,B,Letter Grade,B,Freshmn Compositi
2,10102,,10102,,10102,Leigh Raiford; Selina Makana; Selina Makana,,African American Studies,R1B,001,B,Letter Grade,B-,Freshmn Compositi
1,10102,,10102,,10102,Leigh Raiford; Selina Makana; Selina Makana,,African American Studies,R1B,001,C,Letter Grade,C+,Freshmn Compositi
5,10106,,10106,,10106,Aparajita Nanda,,African American Studies,R1B,002,A,Letter Grade,A,Freshmn Compositi
4,10106,,10106,,10106,Aparajita Nanda,,African American Studies,R1B,002,A,Letter Grade,A-,Freshmn Compositi
4,10106,,10106,,10106,Aparajita Nanda,,African American Studies,R1B,002,B,Letter Grade,B+,Freshmn Compositi
2,10106,,10106,,10106,Aparajita Nanda,,African American Studies,R1B,002,B,Letter Grade,B-,Freshmn Compositi
1,10106,,10106,,10106,Aparajita Nanda,,African American Studies,R1B,002,C,Letter Grade,C+,Freshmn Compositi
1,10106,,10106,,10106,Aparajita Nanda,,African American Studies,R1B,002,C,Letter Grade,C,Freshmn Compositi
1,10110,,10110,,10110,Arif Gamal,,African American Studies,4B,001,A,Letter Grade,A+,Africa:  Hist & C
5,10110,,10110,,10110,Arif Gamal,,African American Studies,4B,001,A,Letter Grade,A,Africa:  Hist & C
5,10110,,10110,,10110,Arif Gamal,,African American Studies,4B,001,A,Letter Grade,A-,Africa:  Hist & C
1,10116,,10116,,10116,Cara Stanley; Cara Stanley; Leigh Raiford,,African American Studies,39D,002,A,Letter Grade,A+,Fresh/Soph Semina
3,10116,,10116,,10116,Cara Stanley; Cara Stanley; Leigh Raiford,,African American Studies,39D,002,A,Letter Grade,A,Fresh/Soph Semina
2,10116,,10116,,10116,Cara Stanley; Cara Stanley; Leigh Raiford,,African American Studies,39D,002,A,Letter Grade,A-,Fresh/Soph Semina
